set_boundary,num_reps,context,trigger,query,neg,log_likelihood,empirical_probability
3,500,bakery,water,sandwiches,1,-23.025850929940457,0
3,500,bakery,water,sandwiches,0,0.0,0
3,500,beach,bikini,shorts,0,0.0,0
3,500,beach,jeans,sunglasses,1,-23.025850929940457,0
3,500,beach,coat,jeans,1,-23.025850929940457,0
3,500,beach,coat,jeans,0,0.0,0
3,500,beach,shorts,jacket,0,0.0,0
3,500,beach,shorts,coat,1,-23.025850929940457,0
3,500,beach,sunglasses,jacket,1,-23.025850929940457,0
3,500,beach,bikini,shorts,0,0.0,0
3,500,beach,bikini,sunglasses,0,0.0,0
3,500,beach,jacket,jeans,1,-23.025850929940457,0
3,500,beach,shorts,sunglasses,0,0.0,0
3,500,beach,shorts,sunglasses,0,0.0,0
3,500,beach,shorts,sunglasses,0,0.0,0
3,500,beach,coat,jacket,0,0.0,0
3,500,beach,bikini,jacket,0,0.0,0
3,500,beach,coat,jeans,0,0.0,0
3,500,beach,shorts,sunglasses,1,-23.025850929940457,0
3,500,beach,sunglasses,shorts,0,0.0,0
3,500,beach,jacket,jeans,0,0.0,0
3,500,beach,sunglasses,bikini,1,-23.025850929940457,0
3,500,beach,jacket,shorts,1,-23.025850929940457,0
3,500,beach,jeans,jacket,0,0.0,0
3,500,beach,shorts,jeans,0,0.0,0
3,500,beach,jacket,jeans,1,-23.025850929940457,0
3,500,beach,jacket,jeans,0,0.0,0
3,500,beach,sunglasses,jeans,0,0.0,0
3,500,beach,coat,jeans,0,0.0,0
3,500,beach,bikini,sunglasses,0,0.0,0
3,500,beach,coat,sunglasses,0,0.0,0
3,500,beach,shorts,sunglasses,0,0.0,0
3,500,beach,coat,jeans,0,0.0,0
3,500,beach,bikini,sunglasses,1,-23.025850929940457,0
3,500,beach,jacket,jeans,1,-23.025850929940457,0
3,500,beach,jeans,jacket,0,0.0,0
3,500,beach,shorts,bikini,1,-23.025850929940457,0
3,500,beach,jacket,jeans,0,0.0,0
