NextWordPredictionModelRaw,NextWordPredictionModel,AlternativeStructure,context,observed_rows,observed_boundaries,average_log_likelihood,median_log_likelihood,std_log_likelihood,min_log_likelihood,max_log_likelihood
frequency,Frequency,ordering,cold,7029,33,-1.1597454411351875,-0.9440865510100596,0.9767721634929213,-3.7589920554110776,-0.0235831297438897
frequency,Frequency,ordering,cut,7029,33,-2.0679989001159305,-1.1671035612189091,2.341400080038791,-6.424044942373625,-0.0016233987188354
frequency,Frequency,ordering,fridge,7029,33,-1.1958146022150222,-0.2505845423105153,1.3891144037676877,-4.331704460643891,-0.0010771432846592
frequency,Frequency,ordering,gym,7029,33,-1.3853046360410541,-1.0404147309475944,1.437180727988453,-4.771198751105545,-0.0085062965621786
frequency,Frequency,ordering,hot,7029,33,-0.7461201751913908,-0.5659528476840372,0.44849114931296546,-2.1699112395065,-0.1212502603389659
frequency,Frequency,ordering,mall,7029,33,-1.8897514326608345,-0.5228014718818235,2.263369016370646,-7.4438278332206655,-0.000585212668349
frequency,Frequency,ordering,mask,7029,33,-1.128356928545964,-0.7482283703241515,1.0674462638483488,-3.761218803547464,-0.0235300524655482
frequency,Frequency,ordering,meat,7029,33,-0.9675273053114792,-0.5669189086738164,1.0448973158268824,-3.8374659007863,-0.02178368838318
frequency,Frequency,ordering,restaurant,7029,33,-1.21146275495139,-0.9108438140394244,0.8033347715654924,-2.6955111502658977,-0.069894563199342
frequency,Frequency,ordering,salad,7029,33,-0.902356488634636,-0.6495654755818134,0.7153486624253128,-2.7586599568521173,-0.0654740401057322
frequency,Frequency,ordering,science,7029,33,-1.4367457901102971,-1.2734424747860793,1.1610387809617615,-4.362614398792973,-0.012826938038935
frequency,Frequency,ordering,throw,7029,33,-1.7767214170765842,-1.027136367485937,1.7222344455691838,-5.3173871431392365,-0.0049176262341013
frequency,Frequency,ordering,transport,7029,33,-1.9634821815916366,-0.5386800402112008,2.506596495771317,-8.742833147925953,-0.0001596138109238
frequency,Frequency,conjunction,bag,7029,33,-9.885264712902144,-0.002002002670673,10.960482072919483,-23.025850929940457,0.0
frequency,Frequency,conjunction,bakery,7029,33,-13.427957182490795,-23.025850929940457,11.334372365135847,-23.025850929940457,0.0
frequency,Frequency,conjunction,beach,7029,33,-10.347475744730591,-5.521460917862246,11.122258452003027,-23.025850929940457,0.0
frequency,Frequency,conjunction,cold,7029,33,-7.257921720824399,0.0,10.351525154544477,-23.025850929940457,0.0
frequency,Frequency,conjunction,cut,7029,33,-7.739445815774296,-0.002002002670673,10.647720218673477,-23.025850929940457,0.0
frequency,Frequency,conjunction,fridge,7029,33,-8.88406984512888,-5.521460917862246,10.030078733329399,-23.025850929940457,0.0
