set_boundary,num_reps,context,trigger,query,neg,log_likelihood,negation_probability,probability_query_observed
3,500,bag,crayons,chalk,1,-2.7488721956224653,0.064,0.064
3,500,bag,pen,makeup,1,-5.521460917862246,0.004,0.004
3,500,bag,headphones,makeup,0,-0.004008021397538822,0.004,0.996
3,500,bag,chalk,crayons,1,-1.8578992717326,0.156,0.156
3,500,bag,crayons,chalk,1,-2.7488721956224653,0.064,0.064
3,500,bag,headphones,makeup,0,-0.004008021397538822,0.004,0.996
3,500,bag,headphones,makeup,0,-0.004008021397538822,0.004,0.996
3,500,bag,crayons,chalk,1,-2.7488721956224653,0.064,0.064
3,500,bag,headphones,pen,1,-0.3065251602532608,0.736,0.736
3,500,bag,headphones,makeup,0,-0.004008021397538822,0.004,0.996
3,500,bag,crayons,headphones,1,-23.025850929940457,0.0,0.0
3,500,bag,crayons,makeup,0,-0.004008021397538822,0.004,0.996
3,500,bag,pen,chalk,0,-0.04290750101127655,0.042,0.958
3,500,bag,headphones,makeup,1,-5.521460917862246,0.004,0.004
3,500,bag,pen,crayons,1,-2.1715568305876416,0.114,0.114
3,500,bag,headphones,chalk,1,-2.7488721956224653,0.064,0.064
3,500,bag,pen,headphones,0,0.0,0.0,1.0
3,500,bag,pen,chalk,1,-3.170085660698769,0.042,0.042
3,500,bag,makeup,crayons,1,-1.8578992717326,0.156,0.156
3,500,bag,crayons,chalk,1,-2.7488721956224653,0.064,0.064
3,500,bag,headphones,chalk,0,-0.06613980250454507,0.064,0.9359999999999999
3,500,bag,crayons,chalk,1,-2.7488721956224653,0.064,0.064
3,500,bag,chalk,pen,1,-0.32573014008931084,0.722,0.722
3,500,bag,chalk,makeup,0,-0.004008021397538822,0.004,0.996
3,500,bag,pen,crayons,1,-2.1715568305876416,0.114,0.114
3,500,bag,pen,crayons,1,-2.1715568305876416,0.114,0.114
3,500,bag,pen,makeup,0,-0.004008021397538822,0.004,0.996
3,500,bag,pen,crayons,1,-2.1715568305876416,0.114,0.114
3,500,bag,crayons,headphones,0,0.0,0.0,1.0
3,500,bag,makeup,headphones,0,0.0,0.0,1.0
3,500,bag,pen,makeup,0,-0.004008021397538822,0.004,0.996
3,500,bag,crayons,chalk,1,-2.7488721956224653,0.064,0.064
3,500,bag,crayons,headphones,0,0.0,0.0,1.0
3,500,bag,pen,chalk,1,-3.170085660698769,0.042,0.042
3,500,bag,headphones,crayons,1,-1.8451602459551701,0.158,0.158
3,500,bag,pen,chalk,1,-3.170085660698769,0.042,0.042
3,500,bag,crayons,chalk,0,-0.06613980250454507,0.064,0.9359999999999999
3,500,bag,pen,chalk,1,-3.170085660698769,0.042,0.042
3,500,bag,headphones,makeup,0,-0.004008021397538822,0.004,0.996
3,500,bag,pen,chalk,1,-3.170085660698769,0.042,0.042
3,500,bag,pen,crayons,1,-2.1715568305876416,0.114,0.114
3,500,bag,pen,chalk,1,-3.170085660698769,0.042,0.042
3,500,bag,pen,crayons,1,-2.1715568305876416,0.114,0.114
3,500,bag,pen,chalk,1,-3.170085660698769,0.042,0.042
3,500,bag,crayons,makeup,0,-0.004008021397538822,0.004,0.996
3,500,bag,pen,crayons,1,-2.1715568305876416,0.114,0.114
3,500,bag,headphones,chalk,0,-0.06613980250454507,0.064,0.9359999999999999
3,500,bag,pen,headphones,0,0.0,0.0,1.0
3,500,bag,headphones,crayons,1,-1.8451602459551701,0.158,0.158
3,500,bag,chalk,makeup,1,-5.521460917862246,0.004,0.004
3,500,bag,makeup,pen,1,-0.3065251602532608,0.736,0.736
3,500,bakery,pretzels,muffins,1,-4.017383521085972,0.018,0.018
3,500,bakery,muffins,pretzels,0,-0.020202707317519466,0.02,0.98
3,500,bakery,muffins,sandwiches,0,0.0,0.0,1.0
3,500,bakery,cakes,muffins,1,-4.017383521085972,0.018,0.018
3,500,bakery,cakes,ice cream,1,-1.5896352851379207,0.204,0.204
3,500,bakery,ice cream,muffins,1,-4.422848629194137,0.012,0.012
3,500,bakery,ice cream,cakes,1,-1.2946271725940668,0.274,0.274
3,500,bakery,water,sandwiches,0,0.0,0.0,1.0
3,500,bakery,sandwiches,pretzels,1,-3.912023005428146,0.02,0.02
3,500,bakery,cakes,muffins,1,-4.017383521085972,0.018,0.018
3,500,bakery,muffins,water,0,-0.012072581234269249,0.012,0.988
3,500,bakery,cakes,muffins,1,-4.017383521085972,0.018,0.018
3,500,bakery,sandwiches,pretzels,1,-3.912023005428146,0.02,0.02
3,500,bakery,water,sandwiches,0,0.0,0.0,1.0
3,500,bakery,pretzels,cakes,1,-1.1776554960085626,0.308,0.308
3,500,bakery,water,pretzels,1,-3.912023005428146,0.02,0.02
3,500,bakery,sandwiches,pretzels,1,-3.912023005428146,0.02,0.02
3,500,bakery,muffins,water,0,-0.012072581234269249,0.012,0.988
3,500,bakery,water,muffins,1,-4.017383521085972,0.018,0.018
3,500,bakery,ice cream,muffins,1,-4.422848629194137,0.012,0.012
3,500,bakery,pretzels,sandwiches,0,0.0,0.0,1.0
