NextWordPredictionModelRaw,NextWordPredictionModel,AlternativeStructure,context,observed_rows,observed_boundaries,average_log_likelihood,median_log_likelihood,std_log_likelihood,min_log_likelihood,max_log_likelihood
cloze,Cloze Probability,set,bag,1440,10,-0.691537549838305,-0.4494169956373471,0.8628245304001372,-5.115995809754081,0.0
cloze,Cloze Probability,set,bakery,2130,10,-0.8872910350687521,-0.3453111852884173,1.1292477022713372,-23.025850929940457,0.0
cloze,Cloze Probability,set,beach,2130,10,-0.9829449147626689,-0.5378542961539099,1.076385332636622,-5.521460917862245,-0.0040080213975388
cloze,Cloze Probability,set,cold,920,10,-0.5502024470381103,-0.1031407589195133,0.9262315966116097,-4.422848629194137,-0.0080321716972642
cloze,Cloze Probability,set,cut,2130,10,-0.7012705730906037,-0.1301086853470204,1.1182610317554063,-5.521460917862246,-0.0040080213975388
cloze,Cloze Probability,set,fridge,2130,10,-0.7788487780421555,-0.0747235461959364,2.9696061981445094,-23.025850929940457,0.0
cloze,Cloze Probability,set,gym,1380,10,-0.9513481360011656,-0.6812186096946715,0.8745399593321899,-4.605170185988091,-0.0100503358535014
cloze,Cloze Probability,set,hot,2130,10,-0.7505434372640971,-0.1187835359899669,2.0314164624127145,-23.025850929940457,0.0
cloze,Cloze Probability,set,mask,1430,10,-1.4698700822219384,-0.2903523010076598,4.567150614594498,-23.025850929940457,0.0
cloze,Cloze Probability,set,meat,1460,10,-1.0127906620561489,-0.7256703722655053,1.1774882223029801,-23.025850929940457,0.0
cloze,Cloze Probability,set,restaurant,2130,10,-0.960132755686227,-0.3285040669720361,1.1687575885674348,-6.214608098422191,-0.002002002670673
cloze,Cloze Probability,set,salad,1400,10,-0.8536553476057833,-0.1791266658974354,1.1922415924409455,-6.214608098422191,-0.002002002670673
cloze,Cloze Probability,set,science,2130,10,-1.4533796607169185,-0.9063404010209868,1.4253774373338592,-5.521460917862246,-0.0040080213975388
cloze,Cloze Probability,set,throw,1380,10,-0.8036188270715389,-0.4812668215244463,0.9498684930654658,-5.521460917862245,-0.0040080213975388
cloze,Cloze Probability,set,transport,960,10,-0.6930074776250892,-0.0682788407532944,1.3186009437419868,-6.214608098422191,-0.002002002670673
cloze,Cloze Probability,ordering,bag,1440,10,-0.9997994504624573,-0.6812186096946715,0.9308834089495075,-4.268697949366879,-0.0100503358535014
cloze,Cloze Probability,ordering,bakery,2130,10,-0.7903912696180502,-0.5691612007789542,0.8079474521098995,-5.521460917862245,-0.0040080213975388
cloze,Cloze Probability,ordering,beach,2130,10,-0.7919318036387332,-0.6198967188203526,0.7637701995222191,-4.268697949366879,-0.0140989243795016
cloze,Cloze Probability,ordering,cold,920,10,-0.6750122746740177,-0.0812100554255431,1.0839936017204668,-4.268697949366879,-0.0140989243795016
cloze,Cloze Probability,ordering,cut,2130,10,-0.6897390134927732,-0.40048202195223936,0.7799983731373265,-5.521460917862245,-0.0040080213975388
cloze,Cloze Probability,ordering,fridge,2130,10,-3.012065509804463,-0.5481814103097594,7.157845630196924,-23.025850929940457,0.0
cloze,Cloze Probability,ordering,gym,1380,10,-0.7610355500652669,-0.5041810810473222,0.7063677885656785,-3.912023005428145,-0.0202027073175194
cloze,Cloze Probability,ordering,hot,2130,10,-2.2280875359483603,-0.1187835359899669,5.707208318896827,-23.025850929940457,0.0
cloze,Cloze Probability,ordering,mask,1430,10,-2.935902079549279,-0.1887421245968772,7.156991642377509,-23.025850929940457,0.0
cloze,Cloze Probability,ordering,meat,1460,10,-0.836865609822126,-0.3147107448397002,0.920950323901053,-5.115995809754082,-0.006018072325563
cloze,Cloze Probability,ordering,restaurant,2130,10,-0.5800244565993414,-0.41855034765682,0.6647203346952214,-4.605170185988091,-0.0100503358535014
cloze,Cloze Probability,ordering,salad,1400,10,-0.7552087384375661,-0.2876856280199785,0.8914265409403366,-6.214608098422191,-0.002002002670673
cloze,Cloze Probability,ordering,science,2130,10,-0.9206772330856885,-0.3945251680698299,0.9618136457765256,-5.115995809754082,-0.006018072325563
cloze,Cloze Probability,ordering,throw,1380,10,-0.7809645547384623,-0.4620556162134748,0.7879391636260041,-3.506557897319981,-0.0242926925690445
cloze,Cloze Probability,ordering,transport,960,10,-0.7394811202320883,-0.6994588506407335,0.8548546737516118,-6.214608098422191,-0.002002002670673
cloze,Cloze Probability,conjunction,bag,1440,10,-0.9883703779095178,-0.5041865632930693,1.055450040753368,-5.521460917862246,-0.0040080213975388
cloze,Cloze Probability,conjunction,bakery,2130,10,-1.0407971914992984,-0.583396316600826,1.09965451633137,-5.521460917862246,-0.0040080213975388
cloze,Cloze Probability,conjunction,beach,2130,10,-0.987472465788734,-0.4277107170554841,1.0822896812066158,-4.8283137373023015,-0.0080321716972642
cloze,Cloze Probability,conjunction,cold,920,10,-0.5957868787843482,-0.0725706928348355,0.9865922011318827,-4.605170185988091,-0.006018072325563
cloze,Cloze Probability,conjunction,cut,2130,10,-0.7415053063531046,-0.0987159729391577,1.1824485139672394,-5.521460917862246,-0.0040080213975388
cloze,Cloze Probability,conjunction,fridge,2130,10,-0.8855286186105389,-0.3285040669720361,2.488515841539572,-23.025850929940457,0.0
cloze,Cloze Probability,conjunction,gym,1380,10,-1.1765321747287358,-1.0498384512958514,0.903418302725595,-4.605170185988091,-0.0080321716972642
cloze,Cloze Probability,conjunction,hot,2130,10,-0.7766755743852709,-0.0943106794712412,2.1536376458946305,-23.025850929940457,0.0
cloze,Cloze Probability,conjunction,mask,1430,10,-1.4928729569186834,-0.2281560931377539,4.571183956420853,-23.025850929940457,0.0
cloze,Cloze Probability,conjunction,meat,1460,10,-1.2588548907141905,-1.152013065395225,1.3099141034192745,-23.025850929940457,0.0
